Kharif crop,Sow date,Area,Monthly list,Total_list
Lentil,15-06-2020,432,"[0.0, 0.0, 0.0, 0.0, 0.0, 14.351123145746435, 421.7628668912634, 336.01531044876003, 616.6169407444236, 325.40064210953346, 264.1839391804508, 0.0]",1978.3308225201777
Millet,15-06-2020,1242,"[0.0, 0.0, 0.0, 0.0, 0.0, 34.096375043322915, 1347.298047013758, 996.7352798220975, 1047.548098196492, 0.0, 0.0, 0.0]",3425.6778000756703
Onion-dry,01-08-2020,312,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.31835286581958, 388.6555262873941, 458.06148273003697, 370.15105256283164, 342.1909312905125]",1573.3773457365949
Bean-green,15-06-2020,85,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.196223835318706, 76.39957869539714, 65.81405948268319, 99.2659847789318, 0.0, 0.0, 0.0]",243.67584679233084
Tomato,15-06-2020,14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.46508269453807893, 11.80861642310195, 8.714802870172567, 20.891272613605253, 15.660221631796135, 0.0, 0.0]",57.539996233213984
