Rabi crop,Sow date,Area,Monthly list,Total_list
Wheat,01-11-2020,135,"[192.05617724532186, 158.88329635985195, 98.86184091744903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.081322909327998, 166.606426096324]",625.4890635282749
Onion-dry,01-11-2020,360,"[453.58658904199496, 446.8571693811795, 483.03163162332874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.693585521358052, 429.5018139999536]",1839.6707895678148
Tomato,01-08-2020,180,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7547550481121843, 108.95901623381572, 161.8486611905629, 138.304695226619, 115.57072901142016]",528.43785671053
Carrot,01-11-2020,45,"[53.77572962869012, 56.844912697635934, 60.63526242936872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.53176275047932, 40.581167260291814]",214.36883476646588
Millet,01-11-2020,45,"[51.538216801689934, 38.249682457001406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8895118347861803, 56.37834092748008]",149.05575202095758
Maize-grain,01-11-2020,27,"[38.41123544906437, 26.41750046618174, 30.75701717431747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7612262612030052, 30.230778158456094]",127.57775750922268
Cabbage,01-11-2020,63,"[70.70339408572127, 69.01890393871969, 79.72218851583088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6615893970410482, 63.55071479282164]",286.6567907301345
