Structure name,Area,Storage capacity,Number
Earthen nala bund,0.2335,0.467,19
Percolation tank,8.383333333333333,25.15,5
Percolation tank forest,1.2933333333333332,3.88,30
K T weir,0.525,1.05,4
Cement nala bund,13.045,13.045,2
Cement nala bund forest,7.88,7.88,2
CCT,0.3,34500.0,115000
Recharge shaft,1.0,1.0,15
Konambe dam,136.0936093609361,1512.0,1
